,LRSN,old_neighborhood,new_neighborhood
1,43,7103037,7103037
2,44,7103037,7103037
3,49,7103037,7103037
4,50,7103037,7103037
5,51,7103037,7103037
6,52,7103037,7103037
7,53,7103037,7103037
8,54,7103037,7103037
9,55,7103037,7103037
10,57,7103037,7103037
11,59,7103037,7103037
12,60,7103037,7103037
13,62,7103037,7103037
14,64,7103037,7103037
15,65,7103037,7103037
16,66,7103037,7103037
17,67,7103037,7103037
18,87,7103037,7103037
19,95,7103034,7103034
20,110,7103037,7103037
21,112,7103037,7103037
22,113,7103037,7103037
23,114,7103037,7103037
24,115,7103037,7103037
25,116,7103037,7103037
26,117,7103037,7103037
27,118,7103037,7103037
28,119,7103037,7103037
29,120,7103037,7103037
30,122,7103037,7103037
31,123,7103037,7103037
32,124,7103037,7103037
33,125,7103037,7103037
34,126,7103037,7103037
35,127,7103037,7103037
36,128,7103037,7103037
37,129,7103037,7103037
38,132,7103037,7103037
39,134,7103037,7103037
40,135,7103037,7103037
41,136,7103037,7103037
42,137,7103037,7103037
43,138,7103037,7103037
44,139,7103037,7103037
45,141,7103037,7103037
46,143,7103037,7103037
47,144,7103037,7103037
48,146,7103037,7103037
49,181,7103034,7103034
50,183,7103034,7103034
51,185,7103034,7103034
52,186,7103034,7103034
53,187,7103034,7103034
54,188,7103034,7103034
55,189,7103034,7103034
56,190,7103034,7103034
57,191,7103034,7103034
58,192,7103034,7103034
59,193,7103034,7103034
60,194,7103034,7103034
61,195,7103034,7103034
62,196,7103034,7103034
63,198,7103034,7103034
64,200,7103034,7103034
65,201,7103034,7103034
66,202,7103034,7103034
67,203,7103034,7103034
68,204,7103034,7103034
69,206,7103034,7103034
70,208,7103034,7103034
71,210,7103034,7103034
72,211,7103034,7103034
73,215,7103034,7103034
74,216,7103034,7103034
75,217,7103034,7103034
76,219,7103034,7103034
77,220,7103034,7103034
78,226,7103034,7103034
79,245,7103034,7103034
80,250,7103034,7103034
81,251,7103034,7103034
82,252,7103034,7103034
83,255,7103034,7103034
84,267,7103034,7103034
85,268,7103034,7103034
86,269,7103034,7103034
87,272,7103065,7103065
88,274,7103065,7103065
89,276,7103065,7103065
90,277,7103065,7103065
91,278,7103065,7103065
92,279,7103065,7103065
93,281,7103065,7103065
94,282,7103065,7103065
95,283,7103065,7103065
96,284,7103065,7103065
97,286,7103065,7103065
98,287,7103065,7103065
99,288,7103065,7103065
100,290,7103065,7103065
101,291,7103065,7103065
102,292,7103065,7103065
103,293,7103065,7103065
104,295,7103063,7103063
105,296,7103063,7103063
106,297,7103063,7103063
107,298,7103063,7103063
108,299,7103063,7103063
109,300,7103063,7103063
110,301,7103063,7103063
111,302,7103063,7103063
112,303,7103063,7103063
113,304,7103063,7103063
114,305,7103063,7103063
115,306,7103063,7103063
116,307,7103063,7103063
117,308,7103063,7103063
118,309,7103063,7103063
119,310,7103063,7103063
120,311,7103063,7103063
121,312,7103063,7103063
122,313,7103063,7103063
123,314,7103063,7103063
124,315,7103063,7103063
125,316,7103063,7103063
126,317,7103063,7103063
127,318,7103063,7103063
128,319,7103063,7103063
129,320,7103063,7103063
130,321,7103063,7103063
131,322,7103063,7103063
132,323,7103063,7103063
133,324,7103063,7103063
134,325,7103063,7103063
135,326,7103063,7103063
136,327,7103063,7103063
137,328,7103063,7103063
138,329,7103063,7103063
139,330,7103063,7103063
140,331,7103063,7103063
141,332,7103063,7103063
142,333,7103063,7103063
143,334,7103063,7103063
144,335,7103063,7103063
145,336,7103063,7103063
146,337,7103063,7103063
147,338,7103063,7103063
148,339,7103063,7103063
149,340,7103063,7103063
150,341,7103063,7103063
151,342,7103063,7103063
152,343,7103063,7103063
153,344,7103063,7103063
154,345,7103063,7103063
155,346,7103063,7103063
156,347,7103063,7103063
157,348,7103063,7103063
158,349,7103063,7103063
159,350,7103063,7103063
160,351,7103063,7103063
161,352,7103063,7103063
162,353,7103063,7103063
163,366,7103070,7103070
164,367,7103070,7103070
165,368,7103070,7103070
166,369,7103070,7103070
167,370,7103070,7103070
168,371,7103070,7103070
169,372,7103070,7103070
170,382,7103034,7103034
171,385,7103070,7103070
172,386,7103070,7103070
173,387,7103070,7103070
174,388,7103070,7103070
175,389,7103070,7103070
176,390,7103070,7103070
177,391,7103070,7103070
178,392,7103070,7103070
179,393,7103070,7103070
180,394,7103070,7103070
181,397,7103070,7103070
182,398,7103070,7103070
183,399,7103070,7103070
184,400,7103070,7103070
185,401,7103070,7103070
186,402,7103070,7103070
187,404,7103070,7103070
188,406,7103070,7103070
189,407,7103070,7103070
190,408,7103070,7103070
191,409,7103070,7103070
192,410,7103070,7103070
193,411,7103070,7103070
194,415,7103070,7103070
195,416,7103070,7103070
196,417,7103070,7103070
197,418,7103070,7103070
198,420,7103070,7103070
199,423,7103070,7103070
200,424,7103070,7103070
201,425,7103070,7103070
202,426,7103070,7103070
203,427,7103070,7103070
204,433,7103034,7103034
205,434,7103034,7103034
206,435,7103034,7103034
207,437,7103034,7103034
208,438,7103034,7103034
209,439,7103034,7103034
210,443,7103034,7103034
211,444,7103034,7103034
212,450,7103066,7103066
213,451,7103066,7103066
214,452,7103066,7103066
215,453,7103066,7103066
216,454,7103066,7103066
217,455,7103066,7103066
218,456,7103066,7103066
219,457,7103066,7103066
220,458,7103066,7103066
221,459,7103066,7103066
222,460,7103066,7103066
223,464,7103066,7103066
224,466,7103066,7103066
225,467,7103066,7103066
226,470,7103066,7103066
227,471,7103066,7103066
228,473,7103066,7103066
229,474,7103066,7103066
230,475,7103066,7103066
231,476,7103066,7103066
232,477,7103066,7103066
233,478,7103066,7103066
234,479,7103066,7103066
235,480,7103066,7103066
236,481,7103066,7103066
237,482,7103066,7103066
238,483,7103066,7103066
239,484,7103066,7103066
240,485,7103066,7103066
241,486,7103066,7103066
242,487,7103066,7103066
243,488,7103066,7103066
244,489,7103066,7103066
245,490,7103066,7103066
246,491,7103066,7103066
247,492,7103066,7103066
248,493,7103066,7103066
249,495,7103066,7103066
250,496,7103066,7103066
251,498,7103066,7103066
252,499,7103066,7103066
253,500,7103066,7103066
254,501,7103066,7103066
255,502,7103066,7103066
256,503,7103066,7103066
257,504,7103066,7103066
258,505,7103066,7103066
259,506,7103066,7103066
260,507,7103066,7103066
261,511,7103065,7103065
262,512,7103065,7103065
263,514,7103065,7103065
264,516,7103065,7103065
265,518,7103065,7103065
266,521,7103065,7103065
267,522,7103065,7103065
268,525,7103063,7103063
269,527,7103063,7103063
270,528,7103063,7103063
271,533,7103063,7103063
272,534,7103063,7103063
273,536,7103063,7103063
274,538,7103063,7103063
275,539,7103063,7103063
276,540,7103063,7103063
277,542,7103063,7103063
278,545,7103063,7103063
279,546,7103063,7103063
280,548,7103066,7103066
281,549,7103066,7103066
